nome,cognome,codice_fiscale,data_nascita,email,telefono
Carlo,Visentin,VSNCRL81B16H224Y,1981-02-16,carlo.visentin@tim.it,3338208215
Dario,Castelli,CSTDRA68T18D643E,1968-12-18,dario.castelli@fastwebnet.it,3476766993
Luigi,Costa,CSTLGU96C05B354U,1996-03-05,luigi.costa@email.it,3461011340
Paola,Sartori,SRTPLA51S41H703T,1951-11-01,paola.sartori@libero.it,3405200835
Giacomo,Piazza,PZZGCM98C20D969G,1998-03-20,giacomo.piazza@yahoo.it,3452530068
Mario,Longo,LNGMRA82R11F839A,1982-10-11,mario.longo@outlook.it,3201135267
Stefania,Lombardo,LMBSFN77S60G478O,1977-11-20,stefania.lombardo@gmail.com,3892718442
Claudio,Marini,MRNCLD66S05G273F,1966-11-05,claudio.marini@libero.it,3279900451
Alessandro,Amato,MTALSN71L04E625J,1971-07-04,alessandro.amato@libero.it,3464644760
Franco,Barbieri,BRBFNC51A18G337I,1951-01-18,franco.barbieri@tim.it,3345646746
Riccardo,Farina,FRNRCR93T01F257D,1993-12-01,riccardo.farina@yahoo.it,3384446807
Valerio,Fabbri,FBBVLR97T20F205U,1997-12-20,valerio.fabbri@outlook.it,3349381604
Giuseppe,Monti,MNTGPP68E23G273F,1968-05-23,giuseppe.monti@tiscali.it,3803898604
Ginevra,Conti,CNTGVR41H70G337D,1941-06-30,ginevra.conti@yahoo.it,3429499515
Irene,Trevisan,TRVRNI84T53H199Q,1984-12-13,irene.trevisan@icloud.com,3493561552
Angela,Ferri,FRRNGL47B42L049J,1947-02-02,,3299999133
Elisa,Baresi,BRSLSE96S66H199X,1996-11-26,elisa.baresi@gmail.com,3895003671
Riccardo,Mancini,MNCRCR78T24L219H,1978-12-24,riccardo.mancini@tiscali.it,3893946849
Giuseppe,Rossetti,RSSGPP52D23G478E,1952-04-23,giuseppe.rossetti@virgilio.it,3895349442
Giacomo,Moretti,MRTGCM64B10E625X,1964-02-10,,3206620552
Chiara,Carli,CRLCHR45P63A662O,1945-09-23,chiara.carli@tiscali.it,3469569497
Giuseppina,Testa,TSTGPP90S49D969X,1990-11-09,giuseppina.testa@yahoo.it,3802934976
Mario,Marino,MRNMRA41B06D612U,1941-02-06,mario.marino@tim.it,3248035849
Alberto,Serra,SRRLRT77E05D548E,1977-05-05,alberto.serra@yahoo.it,3289422849
Davide,Gentile,GNTDVD86D09F205E,1986-04-09,,3278802985
Luisa,Ferri,FRRLSU69E52F839Q,1969-05-12,luisa.ferri@email.it,3666098752
Guido,Marini,MRNGDU93A30B157K,1993-01-30,,3335112546
Mario,Valente,VLNMRA42B22D612Z,1942-02-22,mario.valente@email.it,3426159172
Lorenzo,Carli,CRLLNZ61E14G224J,1961-05-14,lorenzo.carli@email.it,3244883465
Veronica,Marini,MRNVNC81B56E625Q,1981-02-16,veronica.marini@gmail.com,3422255447
Cesare,Fontanella,FNTCSR51P23D612R,1951-09-23,cesare.fontanella@tim.it,3398596016
Caterina,Conti,CNTCRN58C49G273B,1958-03-09,caterina.conti@tiscali.it,3318542478
Valentina,Valente,VLNVNT50R71G999E,1950-10-31,valentina.valente@outlook.it,3353011815
Massimo,Mazza,MZZMSM67D17D643W,1967-04-17,massimo.mazza@tiscali.it,3292530298
Maurizio,Donati,DNTMRZ86A24F205J,1986-01-24,maurizio.donati@yahoo.it,3465191831
Guido,Giordano,GRDGDU52L16L219P,1952-07-16,guido.giordano@outlook.it,3402409947
Noemi,Conti,CNTNMO41T55F839L,1941-12-15,noemi.conti@virgilio.it,3281716325
Giuseppina,Rinaldi,RNLGPP91H67G224D,1991-06-27,giuseppina.rinaldi@icloud.com,3808158234
Maurizio,Longo,LNGMRZ56R15A662O,1956-10-15,maurizio.longo@libero.it,3705123584
Greta,Valente,VLNGRT89E67B157B,1989-05-27,greta.valente@yahoo.it,3339821696
Antonio,Basile,BSLNTN03T31L736Z,2003-12-31,antonio.basile@virgilio.it,3397515956
Giulia,Esposito,SPSGLI68M49F257Z,1968-08-09,giulia.esposito@yahoo.it,3404905100
Franco,Serra,SRRFNC98T06D612Q,1998-12-06,franco.serra@email.it,3426952633
Davide,Vitale,VTLDVD93B26L781W,1993-02-26,davide.vitale@tim.it,3403384080
Dario,Pellegrino,PLLDRA67P23D969K,1967-09-23,dario.pellegrino@gmail.com,3341334336
Laura,Gatti,GTTLRA95B44A944K,1995-02-04,laura.gatti@tim.it,3241367637
Aldo,Rizzo,RZZLDA87C20H294I,1987-03-20,aldo.rizzo@gmail.com,3662695038
Sara,Romano,RMNSRA52C69D969I,1952-03-29,sara.romano@icloud.com,3393922635
Caterina,Piazza,PZZCRN92S41D643M,1992-11-01,caterina.piazza@yahoo.it,3293981450
Valerio,Barone,BRNVLR42S27D969Q,1942-11-27,valerio.barone@tiscali.it,3289324603
Enrico,Baroni,BRNNRC46T24D612U,1946-12-24,enrico.baroni@tim.it,3886632941
Laura,Marchetti,MRCLRA58R63D612V,1958-10-23,laura.marchetti@tim.it,3247474950
Donatella,Costantini,CSTDTL54T43H703I,1954-12-03,donatella.costantini@icloud.com,3289044494
Massimo,Bernardi,BRNMSM46M12B354E,1946-08-12,massimo.bernardi@yahoo.it,3282244876
Elena,Basile,BSLLNE54H48E625S,1954-06-08,elena.basile@gmail.com,3471519979
Aurora,Locatelli,LCTRRA54R60F257F,1954-10-20,,3311898516
Enrico,Leone,LNENRC57A16G224E,1957-01-16,enrico.leone@fastwebnet.it,3384985398
Roberto,Donati,DNTRRT91D18G999C,1991-04-18,roberto.donati@libero.it,3452470159
Stefania,Fontanella,FNTSFN96A69F257P,1996-01-29,stefania.fontanella@gmail.com,3775895783
Marcello,Rizzo,RZZMCL67M31B354T,1967-08-31,marcello.rizzo@virgilio.it,3777501626
Giacomo,Basile,BSLGCM73B20D969P,1973-02-20,giacomo.basile@yahoo.it,3345505722
Stefano,Furlan,FRLSFN99S18L219W,1999-11-18,stefano.furlan@tim.it,3342023137
Stefania,Negri,NGRSFN77L62G999S,1977-07-22,stefania.negri@virgilio.it,3382324645
Federica,Trevisan,TRVFRC43B51L049G,1943-02-11,federica.trevisan@fastwebnet.it,3293017994
Giulia,Rinaldi,RNLGLI59A44B354X,1959-01-04,giulia.rinaldi@email.it,3454387643
Edoardo,Guerra,GRRDRD05C25D548P,2005-03-25,edoardo.guerra@gmail.com,3496471499
Daniela,Silvestri,SLVDNL41B49B354U,1941-02-09,daniela.silvestri@tiscali.it,3453510581
Franco,Giordano,GRDFNC90H25H199A,1990-06-25,franco.giordano@yahoo.it,3357426403
Monica,Sala,SLAMNC82H49F205O,1982-06-09,monica.sala@icloud.com,3807739741
Valerio,Gatti,GTTVLR01T12D612G,2001-12-12,valerio.gatti@virgilio.it,3396084418
Chiara,Sorrentino,SRRCHR02H56H223E,2002-06-16,chiara.sorrentino@outlook.it,3395520117
Claudia,Galli,GLLCLD48A44A944A,1948-01-04,claudia.galli@icloud.com,3401942977
Vincenzo,Ferri,FRRVCN03M29L049D,2003-08-29,vincenzo.ferri@fastwebnet.it,3334367636
Riccardo,Ricci,RCCRCR80T12F205M,1980-12-12,,3884340507
Federica,Caputo,CPTFRC85D65F158Y,1985-04-25,federica.caputo@gmail.com,3409200480
Giulia,Fiore,FRIGLI92M65G999C,1992-08-25,giulia.fiore@libero.it,3381460542
Giuseppina,Mariani,MRNGPP91E44H199E,1991-05-04,,3344776753
Leonardo,Locatelli,LCTLRD76P26L049S,1976-09-26,leonardo.locatelli@email.it,3311141997
Tommaso,Sala,SLATMS67E28G478Q,1967-05-28,,3775620085
Federica,Basile,BSLFRC71D54L424D,1971-04-14,federica.basile@virgilio.it,3707663113
Mario,Grassi,GRSMRA99H04D643T,1999-06-04,mario.grassi@fastwebnet.it,3386007595
Giancarlo,Gallo,GLLGCR70C03A662J,1970-03-03,giancarlo.gallo@yahoo.it,3384160157
Simone,Bruno,BRNSMN93R30F158V,1993-10-30,simone.bruno@libero.it,3475959422
Noemi,Costantini,CSTNMO76D58F158J,1976-04-18,noemi.costantini@tiscali.it,3394730635
Noemi,Piazza,PZZNMO72B69L049X,1972-02-29,noemi.piazza@libero.it,3382637507
Francesca,Zanetti,ZNTFNC63C56E625Y,1963-03-16,francesca.zanetti@libero.it,3274728795
Caterina,Baroni,BRNCRN67L60G224L,1967-07-20,caterina.baroni@tim.it,3388780612
Marcello,Greco,GRCMCL96S29G337E,1996-11-29,marcello.greco@tiscali.it,3483010177
Daniela,Villa,VLLDNL77A62F205O,1977-01-22,,3293304606
Gianluca,Valente,VLNGLC91A31H703G,1991-01-31,,3463402902
Adele,Trevisan,TRVDLA56C46H199Y,1956-03-06,adele.trevisan@tim.it,3771973306
Claudio,De Angelis,DNGCLD58R14H199Q,1958-10-14,claudio.deangelis@tiscali.it,3273171071
Irene,Carbone,CRBRNI76C50G224T,1976-03-10,,3421078335
Matteo,Visentin,VSNMTT73H21H501W,1973-06-21,,3484197346
Mario,Poli,PLOMRA05R24D612Q,2005-10-24,mario.poli@tim.it,3429444584
Elena,Gallo,GLLLNE44B47C351J,1944-02-07,,3469728991
Alice,Mazza,MZZLCA52A42L781N,1952-01-02,,3477027229
Alessandro,Piras,PRSLSN41P18D612V,1941-09-18,alessandro.piras@libero.it,3483835093
Fabrizio,Trevisan,TRVFRZ98E12B354P,1998-05-12,fabrizio.trevisan@yahoo.it,3241804641
Antonio,Greco,GRCNTN01S17L219R,2001-11-17,antonio.greco@icloud.com,3473569046
Giuseppe,Villa,VLLGPP77R04H223H,1977-10-04,giuseppe.villa@fastwebnet.it,3883301222
Valeria,Giordano,GRDVLR85S63E625I,1985-11-23,valeria.giordano@yahoo.it,3334351238
Valeria,Negri,NGRVLR58B43L736Y,1958-02-03,valeria.negri@yahoo.it,3474484526
Martina,Vitale,VTLMTN40C70H501K,1940-03-30,martina.vitale@gmail.com,3292511336
Franco,Coppola,CPPFNC97R21D612I,1997-10-21,franco.coppola@yahoo.it,3283931009
Alessio,Monti,MNTLSS00P18L781Q,2000-09-18,alessio.monti@gmail.com,3293860721
Alessia,Amato,MTALSS95R54A662X,1995-10-14,,3277251562
Giulia,Rizzo,RZZGLI75T55F158B,1975-12-15,,3357471232
Elisabetta,Costantini,CSTLBT98C58H703A,1998-03-18,elisabetta.costantini@gmail.com,3312740017
Noemi,Baresi,BRSNMO83D61B354B,1983-04-21,noemi.baresi@virgilio.it,3401483456
Giancarlo,Sorrentino,SRRGCR50B17H703X,1950-02-17,giancarlo.sorrentino@email.it,3391207369
Gianluca,Negri,NGRGLC86T06G478L,1986-12-06,gianluca.negri@gmail.com,3476800713
Lucia,Rizzi,RZZLCU94T66F205T,1994-12-26,lucia.rizzi@libero.it,3312256030
Valentina,Vitale,VTLVNT69P47A662L,1969-09-07,valentina.vitale@outlook.it,3424942645
Mauro,Amato,MTAMRA91E30L424U,1991-05-30,mauro.amato@virgilio.it,3471298116
Vito,Valente,VLNVTI43C20G999F,1943-03-20,vito.valente@gmail.com,3389528492
Mauro,Pellegrini,PLLMRA72M06D643P,1972-08-06,mauro.pellegrini@outlook.it,3708937865
Michela,Bernardi,BRNMHL50C65L219W,1950-03-25,michela.bernardi@outlook.it,3775898671
Veronica,Giordano,GRDVNC44B49H703V,1944-02-09,veronica.giordano@libero.it,3354287016
Paolo,Donati,DNTPLA59E05L424Y,1959-05-05,paolo.donati@outlook.it,3451780146
Claudio,Silvestri,SLVCLD99A27G337V,1999-01-27,,3299368955
Roberto,Farina,FRNRRT78R30D643E,1978-10-30,roberto.farina@fastwebnet.it,3313153888
Nicola,Fontanella,FNTNCL93S16F257X,1993-11-16,,3487453568
Nicole,Sala,SLANCL02B56H199J,2002-02-16,nicole.sala@icloud.com,3293318275
Claudia,Furlan,FRLCLD85T56C351L,1985-12-16,claudia.furlan@fastwebnet.it,3334370359
Alessio,Mazza,MZZLSS70T23D548E,1970-12-23,alessio.mazza@libero.it,3776408662
Maurizio,Rizzi,RZZMRZ83B04G337J,1983-02-04,maurizio.rizzi@icloud.com,3451214253
Giovanni,Basile,BSLGNN53A14F205H,1953-01-14,giovanni.basile@outlook.it,3805203716
Angelo,Sartori,SRTNGL66H24A944J,1966-06-24,angelo.sartori@email.it,3704763253
Teresa,Grassi,GRSTRS02H54C351H,2002-06-14,teresa.grassi@email.it,3806245463
Giuseppe,Baroni,BRNGPP62L19A944I,1962-07-19,giuseppe.baroni@virgilio.it,3404296204
Alessio,Bernardi,BRNLSS55T01H223B,1955-12-01,alessio.bernardi@libero.it,3421681729
Chiara,Rizzi,RZZCHR63P55G273A,1963-09-15,chiara.rizzi@yahoo.it,3883597208
Stefano,Romano,RMNSFN93L19F205B,1993-07-19,stefano.romano@tiscali.it,3667007679
Claudio,Carli,CRLCLD59P25D969W,1959-09-25,claudio.carli@fastwebnet.it,3497768215
Diego,Gentile,GNTDGI59B21H223J,1959-02-21,diego.gentile@tim.it,3488966781
Bruno,Piazza,PZZBRN71A15L424H,1971-01-15,bruno.piazza@tiscali.it,3806384429
Noemi,Rizzo,RZZNMO74M54A662Y,1974-08-14,noemi.rizzo@yahoo.it,3489535166
Greta,Marino,MRNGRT66M45H703T,1966-08-05,greta.marino@tim.it,3319945709
Vincenzo,Leone,LNEVCN00B20H224O,2000-02-20,vincenzo.leone@icloud.com,3888302077
Stefano,Esposito,SPSSFN81C13G478B,1981-03-13,stefano.esposito@gmail.com,3352181822
Edoardo,Valente,VLNDRD74R24L424W,1974-10-24,edoardo.valente@icloud.com,3802984841
Vincenzo,Baroni,BRNVCN92L15F205K,1992-07-15,vincenzo.baroni@gmail.com,3386055825
Christian,Amato,MTACRS74C21F158T,1974-03-21,christian.amato@email.it,3343288101
Carla,Pellegrino,PLLCRL66H58H224U,1966-06-18,carla.pellegrino@tim.it,3293067542
Mario,Lombardi,LMBMRA93L12F158V,1993-07-12,mario.lombardi@gmail.com,3337923193
Massimo,Ferrara,FRRMSM59R22F257N,1959-10-22,massimo.ferrara@outlook.it,3661912484
Marta,Farina,FRNMRT46L64C351H,1946-07-24,marta.farina@yahoo.it,3476550757
Francesca,Piazza,PZZFNC98R61D612P,1998-10-21,francesca.piazza@tiscali.it,3478560584
Cinzia,Fontanella,FNTCNZ67H44G478Y,1967-06-04,cinzia.fontanella@tiscali.it,3453829301
Claudio,Serra,SRRCLD59S15G478F,1959-11-15,claudio.serra@icloud.com,3806562703
Vittoria,Bernardi,BRNVTR72C48H199R,1972-03-08,vittoria.bernardi@fastwebnet.it,3702375290
Margherita,Barbieri,BRBMGH88D67A944M,1988-04-27,margherita.barbieri@gmail.com,3481523352
Luisa,Baresi,BRSLSU59B41D548H,1959-02-01,luisa.baresi@yahoo.it,3773493647
Elisa,Gentile,GNTLSE92S63E625V,1992-11-23,,3298796391
Valerio,Monti,MNTVLR85A19H501Y,1985-01-19,valerio.monti@tiscali.it,3298486336
Davide,Barone,BRNDVD90R05H223M,1990-10-05,,3299111841
Anna,Gentile,GNTNNA83R41D612D,1983-10-01,anna.gentile@tim.it,3339688672
Giorgia,Fiore,FRIGRG80R54H703L,1980-10-14,giorgia.fiore@tim.it,3355417710
Emanuele,Locatelli,LCTMNL73T16L736D,1973-12-16,emanuele.locatelli@gmail.com,3349663280
Alessia,Palumbo,PLMLSS83P45B354H,1983-09-05,alessia.palumbo@tiscali.it,3463778404
Pietro,Grassi,GRSPTR97P23A662A,1997-09-23,pietro.grassi@libero.it,3882985251
Sergio,Gatti,GTTSRG04M13L219T,2004-08-13,sergio.gatti@virgilio.it,3317893744
Riccardo,Marino,MRNRCR51H22G337J,1951-06-22,riccardo.marino@libero.it,3663463987
Alessandro,Marchetti,MRCLSN56B25L049R,1956-02-25,,3701312392
Aurora,De Luca,DLCRRA59H47L424J,1959-06-07,aurora.deluca@virgilio.it,3453394312
Edoardo,Rinaldi,RNLDRD04T20H223E,2004-12-20,edoardo.rinaldi@virgilio.it,3347345333
Francesca,Giordano,GRDFNC41H66A944S,1941-06-26,francesca.giordano@fastwebnet.it,3702615622
Marcello,Colombo,CLMMCL93R23F205W,1993-10-23,,3499444462
Carlo,De Santis,DSNCRL99B26G273I,1999-02-26,,3491020136
Daniela,Costantini,CSTDNL73C64H294L,1973-03-24,daniela.costantini@fastwebnet.it,3426880713
Attilio,Barbieri,BRBTTL62S01B157J,1962-11-01,attilio.barbieri@gmail.com,3455325249
Mario,Rossetti,RSSMRA40M21G337Q,1940-08-21,mario.rossetti@fastwebnet.it,3336299951
Federica,Giordano,GRDFRC53S59G224A,1953-11-19,federica.giordano@yahoo.it,3667134489
Serena,Donati,DNTSRN58D50G224Z,1958-04-10,serena.donati@fastwebnet.it,3499116148
Sara,Lombardi,LMBSRA70S62H199P,1970-11-22,sara.lombardi@libero.it,3463714471
Federico,Grassi,GRSFRC75T08B354G,1975-12-08,federico.grassi@fastwebnet.it,3881873301
Nicola,Bernasconi,BRNNCL40H22B354R,1940-06-22,nicola.bernasconi@libero.it,3272075091
Caterina,Marini,MRNCRN47C47F257W,1947-03-07,caterina.marini@icloud.com,3485806156
Davide,Bernasconi,BRNDVD84E08L424F,1984-05-08,davide.bernasconi@fastwebnet.it,3709565571
Alessandro,Vitali,VTLLSN43C27L736V,1943-03-27,alessandro.vitali@email.it,3426924499
Elisa,Baresi,BRSLSE57T60L049E,1957-12-20,e.baresi@gmail.com,3896840069
Ginevra,De Angelis,DNGGVR60D60F257Z,1960-04-20,,3467777264
Edoardo,Caruso,CRSDRD76L10L049K,1976-07-10,edoardo.caruso@gmail.com,3289611521
Arianna,Ruggiero,RGGRNN91L70A662J,1991-07-30,arianna.ruggiero@icloud.com,3398698199
Federica,Baresi,BRSFRC42H55B157J,1942-06-15,federica.baresi@gmail.com,3804857587
Beatrice,Sanna,SNNBRC86E43G999C,1986-05-03,beatrice.sanna@yahoo.it,3426737688
Davide,Fiore,FRIDVD68B27L736X,1968-02-27,davide.fiore@tiscali.it,3339371819
Simone,Zanetti,ZNTSMN61P18H294M,1961-09-18,simone.zanetti@outlook.it,3403617171
Paolo,De Luca,DLCPLA00M18H223Y,2000-08-18,paolo.deluca@email.it,3477227644
Greta,Lombardi,LMBGRT64M64B157U,1964-08-24,greta.lombardi@fastwebnet.it,3663151610
Attilio,De Santis,DSNTTL88L06F205C,1988-07-06,attilio.desantis@icloud.com,3289694039
Valentina,Sartori,SRTVNT40R42H501T,1940-10-02,valentina.sartori@icloud.com,3405357055
Edoardo,Vitale,VTLDRD64C02B157V,1964-03-02,,3397139188
Dario,Carbone,CRBDRA58S20G224N,1958-11-20,dario.carbone@tim.it,3464018040
Luca,Costa,CSTLCU04M31A662V,2004-08-31,luca.costa@fastwebnet.it,3293509000
Elisabetta,Bianchi,BNCLBT55S45G224N,1955-11-05,elisabetta.bianchi@fastwebnet.it,3385210645
Valerio,Costa,CSTVLR01T13D969Y,2001-12-13,valerio.costa@yahoo.it,3466614605
Federica,Monti,MNTFRC90D49G999O,1990-04-09,,3356773715
Raffaele,Lombardo,LMBRFL71L01H294F,1971-07-01,raffaele.lombardo@tiscali.it,3773928275
Alessia,Romano,RMNLSS00E64L049N,2000-05-24,alessia.romano@virgilio.it,3388780468
Alessandro,Bernasconi,BRNLSN70D08G224I,1970-04-08,alessandro.bernasconi@tiscali.it,3316765079
Claudio,Guerra,GRRCLD98M01C351G,1998-08-01,claudio.guerra@tiscali.it,3467092894
Beatrice,Rinaldi,RNLBRC56H70H294G,1956-06-30,beatrice.rinaldi@outlook.it,3892343263
Alessandro,Donati,DNTLSN49C29L219Y,1949-03-29,alessandro.donati@virgilio.it,3429790972
Domenico,Marchetti,MRCDNC95H14G273N,1995-06-14,domenico.marchetti@icloud.com,3895767670
Irene,Moretti,MRTRNI51R51L049C,1951-10-11,irene.moretti@email.it,3398988550
Nicole,Pellegrino,PLLNCL64H49G999J,1964-06-09,nicole.pellegrino@fastwebnet.it,3468297709
